case_id,power_W,time_s,equivalent_lesion_diameter_mm,TCR,MDI,VUA_deg,DSC_target,PPV_target,target_area_px,lesion_area_px,tumor_area_px
novessel_p50_t8,50.0,480.0,20.42196578273076,0.9201995012468828,0.8333333333333334,0.0,0.7325966850828729,0.8995929443690638,1073,737,401
novessel_p50_t10,50.0,600.0,25.67596428669734,1.0,0.5666666666666667,0.0,0.8266309204647007,0.7939914163090128,1073,1165,401
novessel_p50_t12,50.0,720.0,29.568414804508414,1.0,0.16666666666666666,0.0,0.8059587471352178,0.6828478964401294,1073,1545,401
novessel_p60_t8,60.0,480.0,24.57231137531663,1.0,0.6333333333333333,0.0,0.8102803738317756,0.8125585754451734,1073,1067,401
novessel_p60_t10,60.0,600.0,29.453362170492827,1.0,0.16666666666666666,0.0,0.8096699923254029,0.6881930854533594,1073,1533,401
novessel_p60_t12,60.0,720.0,33.329127910150284,1.0,0.0,0.0,0.7068511198945981,0.5466123280692817,1073,1963,401
novessel_p70_t8,70.0,480.0,27.690668970821466,1.0,0.43333333333333335,0.0,0.8130148270181219,0.7284132841328413,1073,1355,401
novessel_p70_t10,70.0,600.0,32.46909827883594,1.0,0.0,0.0,0.7309264305177112,0.5759527643585615,1073,1863,401
novessel_p70_t12,70.0,720.0,36.58300469585806,1.0,0.0,0.0,0.6242001163467132,0.4536997885835095,1073,2365,401
