case_id,gap_mm,has_vessel,equivalent_lesion_diameter_mm,TCR,MDI,VUA_deg,DSC_target,PPV_target,target_area_px,lesion_area_px,tumor_area_px
stage2_novessel_reference,nan,0,33.96819055603494,1.0,0.0,0.0,0.6895886889460154,0.5262383521333988,1073,2039,401
stage2_gap0p0,0.0,1,31.513915099419492,0.970074812967581,0.31666666666666665,19.0,0.6647807637906648,0.5356125356125356,1073,1755,401
stage2_gap1p0,1.0,1,31.75540457040725,0.9875311720698254,0.31666666666666665,19.0,0.6718038528896673,0.5381593714927049,1073,1782,401
stage2_gap2p0,2.0,1,31.995071401187147,1.0,0.2833333333333333,17.0,0.6800832755031229,0.5417357656163626,1073,1809,401
stage2_gap3p0,3.0,1,32.268049297599376,1.0,0.25,15.0,0.6872639890147614,0.5440217391304348,1073,1840,401
stage2_gap5p0,5.0,1,32.72948014105697,1.0,0.21666666666666667,13.0,0.6999325691166555,0.5483359746434231,1073,1893,401
