protocol_label,power_W,time_s,gap_mm,vessel_diameter_mm,has_vessel,equivalent_lesion_diameter_mm,TCR,MDI,VUA_deg,DSC_target,PPV_target,target_area_px,lesion_area_px,tumor_area_px
balanced,60.0,600.0,nan,nan,0,30.75048891573337,1.0,0.0,0.0,0.782069970845481,0.642130460801915,1073,1671,401
balanced,60.0,600.0,0.0,3.0,1,28.890816137730624,0.9576059850374065,0.31666666666666665,19.0,0.7339089481946625,0.6338983050847458,1073,1475,401
balanced,60.0,600.0,2.0,3.0,1,29.289597317655996,1.0,0.2833333333333333,17.0,0.7508690614136733,0.6411609498680739,1073,1516,401
balanced,60.0,600.0,5.0,3.0,1,29.85410660720913,1.0,0.25,15.0,0.7681268882175226,0.6457142857142857,1073,1575,401
balanced,60.0,600.0,0.0,5.0,1,28.536072336402462,0.9476309226932669,0.35,21.0,0.7300955414012739,0.6372480889506602,1073,1439,401
balanced,60.0,600.0,2.0,5.0,1,29.09575271733576,1.0,0.31666666666666665,19.0,0.7458154924094978,0.6403743315508021,1073,1496,401
balanced,60.0,600.0,5.0,5.0,1,29.835145597606836,1.0,0.25,15.0,0.7671957671957672,0.6452638270820089,1073,1573,401
balanced,60.0,600.0,0.0,8.0,1,28.19693884372629,0.942643391521197,0.38333333333333336,23.0,0.7271993543179984,0.6412811387900356,1073,1405,401
balanced,60.0,600.0,2.0,8.0,1,28.93974219502791,1.0,0.31666666666666665,19.0,0.7473560517038778,0.6445945945945946,1073,1480,401
balanced,60.0,600.0,5.0,8.0,1,29.702079614749795,1.0,0.25,15.0,0.7682370820668692,0.6484926234765875,1073,1559,401
aggressive,70.0,600.0,nan,nan,0,33.96819055603494,1.0,0.0,0.0,0.6895886889460154,0.5262383521333988,1073,2039,401
aggressive,70.0,600.0,0.0,3.0,1,31.9065158164601,0.9750623441396509,0.31666666666666665,19.0,0.6685236768802229,0.5336297943301834,1073,1799,401
aggressive,70.0,600.0,2.0,3.0,1,32.32061742796586,1.0,0.25,15.0,0.68448098663926,0.5411700975081257,1073,1846,401
aggressive,70.0,600.0,5.0,3.0,1,32.815814978831284,1.0,0.21666666666666667,13.0,0.6975806451612904,0.5454545454545454,1073,1903,401
aggressive,70.0,600.0,0.0,5.0,1,31.513915099419492,0.970074812967581,0.31666666666666665,19.0,0.6647807637906648,0.5356125356125356,1073,1755,401
aggressive,70.0,600.0,2.0,5.0,1,31.995071401187147,1.0,0.2833333333333333,17.0,0.6800832755031229,0.5417357656163626,1073,1809,401
aggressive,70.0,600.0,5.0,5.0,1,32.72948014105697,1.0,0.21666666666666667,13.0,0.6999325691166555,0.5483359746434231,1073,1893,401
aggressive,70.0,600.0,0.0,8.0,1,31.116361262860114,0.9650872817955112,0.35,21.0,0.6652298850574713,0.5412039742840444,1073,1711,401
aggressive,70.0,600.0,2.0,8.0,1,31.76431336692714,1.0,0.2833333333333333,17.0,0.6820728291316527,0.5462703309029725,1073,1783,401
aggressive,70.0,600.0,5.0,8.0,1,32.608227350078074,1.0,0.21666666666666667,13.0,0.7018970189701897,0.5513571048430016,1073,1879,401
